,belongs_to_collection,id,collection_id
0,1,862,10194
1,1,710,645
2,1,9273,3167
3,1,8012,91698
4,1,9598,9435
5,1,9312,9818
6,1,10530,136214
7,1,10634,43563
8,1,755,10924
9,1,9102,122017
10,1,9737,14890
11,1,414,120794
12,1,5894,439053
13,1,8839,8819
14,1,8068,9649
15,1,1572,1570
16,1,9070,286162
17,1,1642,328073
18,1,11980,9068
19,1,10802,247294
20,1,10149,439053
21,1,9348,9887
22,1,3512,112399
23,1,50797,23170
24,1,76,123800
25,1,2292,182813
26,1,8467,96665
27,1,628,217704
28,1,11,10
29,1,22586,144200
30,1,11395,53159
31,1,193,115570
32,1,3049,3167
33,1,9331,192492
34,1,9495,9436
35,1,888,351684
36,1,8587,94032
37,1,11596,8581
38,1,854,43072
39,1,36593,37139
40,1,1637,43064
41,1,8831,170452
42,1,11667,261203
43,1,8011,8050
44,1,306,85861
45,1,1634,9328
46,1,5503,134011
47,1,2019,412680
48,1,9255,52988
49,1,329,328
50,1,11231,8580
51,1,5550,5547
52,1,8850,105075
53,1,78,422837
54,1,771,9888
55,1,812,86027
56,1,280,528
57,1,268,120794
58,1,274,9743
59,1,10020,153010
60,1,8766,8917
61,1,954,87359
62,1,8840,169452
63,1,10547,116661
64,1,627,424202
65,1,602,304378
66,1,10545,97456
67,1,9327,86028
68,1,10546,9436
69,1,9431,115142
70,1,10061,115838
71,1,238,230
72,1,11134,269098
73,1,10987,91361
74,1,62,4438
75,1,3529,47814
76,1,10331,261590
77,1,11224,55419
78,1,10948,100970
79,1,562,1570
80,1,10163,124935
81,1,88,86058
82,1,8491,118221
83,1,402,86336
84,1,11843,937
85,1,1103,115838
86,1,11298,174218
87,1,1891,10
88,1,85,84
89,1,679,8091
90,1,429,48317
91,1,1892,10
92,1,348,8091
93,1,539,119674
94,1,525,112636
95,1,240,230
96,1,9277,330605
97,1,218,528
98,1,829,359005
99,1,765,1960
100,1,105,264
101,1,8009,8050
102,1,756,55427
103,1,89,84
104,1,8077,8091
105,1,9529,98580
106,1,7340,257053
107,1,377,8581
108,1,794,10919
109,1,199,115570
110,1,9279,307637
111,1,11674,124916
112,1,1573,1570
113,1,152,151
114,1,174,151
115,1,172,151
116,1,154,151
117,1,157,151
118,1,168,151
119,1,364,120794
120,1,11967,9329
121,1,621,86083
122,1,9037,86083
123,1,8845,112399
124,1,578,2366
125,1,579,2366
126,1,17692,2366
127,1,4232,2602
128,1,34314,166379
129,1,11419,108693
130,1,10003,86224
131,1,6499,286162
132,1,9360,105995
133,1,816,1006
134,1,330,328
135,1,1639,43064
136,1,415,120794
137,1,607,86055
138,1,9387,43055
139,1,20737,97445
140,1,4961,10721
141,1,1669,192492
142,1,9437,142680
143,1,10351,135489
144,1,3597,3601
145,1,1281,103372
146,1,563,10522
147,1,9823,9818
148,1,8078,8091
149,1,9714,9888
150,1,4233,2602
151,1,714,645
152,1,9922,351886
153,1,11568,112636
154,1,11808,134011
155,1,617,33059
156,1,10216,9887
157,1,10674,87236
158,1,846,19387
159,1,3050,3169
160,1,944,945
161,1,1051,155474
162,1,1366,1575
163,1,10014,8581
164,1,10072,8581
165,1,10131,8581
166,1,10160,8581
167,1,11284,8581
168,1,4488,9735
169,1,9725,9735
170,1,9728,9735
171,1,9730,9735
172,1,9731,9735
173,1,10225,9735
174,1,10281,9735
175,1,10283,9735
176,1,948,91361
177,1,11281,91361
178,1,10676,91361
179,1,11357,91361
180,1,11361,91361
181,1,36599,123255
182,1,10585,10455
183,1,11186,10455
184,1,11187,10455
185,1,609,10453
186,1,11133,10453
187,1,10306,10453
188,1,9552,12263
189,1,11586,12263
190,1,941,945
191,1,942,945
192,1,943,945
193,1,927,89151
194,1,928,89151
195,1,9342,1657
196,1,165,264
197,1,196,264
198,1,551,372257
199,1,3170,87250
200,1,242,230
201,1,11158,72119
202,1,9354,72119
203,1,9325,97459
204,1,10144,33085
205,1,10414,10709
206,1,12230,100693
207,1,10693,55422
208,1,11135,57971
209,1,11319,57971
210,1,2619,248126
211,1,97,63043
212,1,11675,91361
213,1,87,84
214,1,123,141290
215,1,10823,115225
216,1,11497,140910
217,1,2907,11716
218,1,11704,141292
219,1,4978,8783
220,1,8393,87805
221,1,805,264338
222,1,34584,91430
223,1,34636,91430
224,1,36647,735
225,1,431,432
226,1,2109,90863
227,1,9877,52760
228,1,1091,479888
229,1,4437,4438
230,1,11932,10455
231,1,4518,100286
232,1,3600,3601
233,1,14444,57129
234,1,39256,374511
235,1,244,135495
236,1,10730,135498
237,1,31947,135498
238,1,9749,104833
239,1,14628,104833
240,1,9626,43055
241,1,707,645
242,1,9336,9338
243,1,9447,9435
244,1,200,115570
245,1,1369,5039
246,1,1368,5039
247,1,1370,5039
248,1,10303,89264
249,1,9326,89264
250,1,11285,86307
251,1,1367,1575
252,1,1371,1575
253,1,1374,1575
254,1,1375,1575
255,1,1885,8580
256,1,8856,8580
257,1,5825,108693
258,1,11815,123213
259,1,9426,109609
260,1,30497,111751
261,1,16337,111751
262,1,16780,111751
263,1,9671,9332
264,1,11873,387219
265,1,8224,387618
266,1,8913,10789
267,1,10906,10789
268,1,25748,115225
269,1,10671,33938
270,1,27932,33938
271,1,7227,33938
272,1,871,1709
273,1,1685,1709
274,1,1705,1709
275,1,1688,1709
276,1,1687,1709
277,1,29723,33938
278,1,9535,110127
279,1,796,52789
280,1,7341,257053
281,1,603,2344
282,1,564,1733
283,1,1893,10
284,1,1924,8537
285,1,8536,8537
286,1,9531,8537
287,1,11411,8537
288,1,138,221539
289,1,3035,218406
290,1,36685,281644
291,1,817,1006
292,1,37135,106768
293,1,2105,2806
294,1,10208,256377
295,1,2667,64750
296,1,9825,97768
297,1,620,2980
298,1,2978,2980
299,1,10766,10919
300,1,813,91663
301,1,11153,108693
302,1,10366,10713
303,1,11601,143757
304,1,11797,98168
305,1,9638,47770
306,1,10576,119674
307,1,1654,124492
308,1,658,645
309,1,657,645
310,1,646,645
311,1,5689,59586
312,1,391,48317
