belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,release_year,cast,keywords,cast_size,crew_size,director,text,weighted_rating,ROI
1,30000000.0,"['Animation', 'Comedy', 'Family']",862,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,['Pixar Animation Studios'],1995-10-30,373554033.0,81.0,Released,,Toy Story,7.7,5415.0,1995.0,"['tomhanks', 'timallen', 'donrickles']","['jealousi', 'toy', 'boy', 'friendship', 'friend', 'rivalri', 'boynextdoor', 'newtoy', 'toycomestolif']",13,106,"['johnlasseter', 'johnlasseter', 'johnlasseter']",jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter johnlasseter Animation Comedy Family,7.684681851121709,12.4518011
0,65000000.0,"['Adventure', 'Fantasy', 'Family']",8844,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.01554,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",1995-12-15,262797249.0,104.0,Released,Roll the dice and unleash the excitement!,Jumanji,6.9,2413.0,1995.0,"['robinwilliams', 'jonathanhyde', 'kirstendunst']","['boardgam', 'disappear', ""basedonchildren'sbook"", 'newhom', 'reclus', 'giantinsect']",26,16,"['joejohnston', 'joejohnston', 'joejohnston']",boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston joejohnston Adventure Fantasy Family,6.877008206132892,4.0430346
0,16000000.0,"['Comedy', 'Drama', 'Romance']",31357,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,['Twentieth Century Fox Film Corporation'],1995-12-22,81452156.0,127.0,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,6.1,34.0,1995.0,"['whitneyhouston', 'angelabassett', 'lorettadevine']","['basedonnovel', 'interracialrelationship', 'singlemoth', 'divorc', 'chickflick']",10,10,"['forestwhitaker', 'forestwhitaker', 'forestwhitaker']",basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker forestwhitaker Comedy Drama Romance,5.678494037874172,5.09075975
0,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",949,en,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",1995-12-15,187436818.0,170.0,Released,A Los Angeles Crime Saga,Heat,7.7,1886.0,1995.0,"['alpacino', 'robertdeniro', 'valkilmer']","['robberi', 'detect', 'bank', 'obsess', 'chase', 'shoot', 'thief', 'honor', 'murder', 'suspens', 'heist', 'betray', 'money', 'gang', 'catandmous', 'criminalmastermind', 'cultfilm', 'ex-con', 'heistmovi', 'onelastjob', 'loner', 'neo-noir', 'gunfight', 'crimeep']",65,71,"['michaelmann', 'michaelmann', 'michaelmann']",robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann michaelmann Action Crime Drama Thriller,7.656541430824216,3.123946966666667
0,35000000.0,"['Action', 'Adventure', 'Thriller']",9091,en,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",1995-12-22,64350171.0,106.0,Released,Terror goes into overtime.,Sudden Death,5.5,174.0,1995.0,"['jean-claudevandamme', 'powersboothe', 'dorianharewood']","['terrorist', 'hostag', 'explos', 'vicepresid']",6,9,"['peterhyams', 'peterhyams', 'peterhyams']",terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams peterhyams Action Adventure Thriller,5.458450184752717,1.8385763142857143
1,58000000.0,"['Adventure', 'Action', 'Thriller']",710,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,"['United Artists', 'Eon Productions']",1995-11-16,352194034.0,130.0,Released,No limits. No fears. No substitutes.,GoldenEye,6.6,1194.0,1995.0,"['piercebrosnan', 'seanbean', 'izabellascorupco']","['cuba', 'falselyaccus', 'secretident', 'computervirus', 'secretbas', 'secretintelligenceservic', 'kgb', 'satellit', 'specialcar', 'cossack', 'timebomb', 'st.petersburgrussia', 'ejectionseat', 'redarmi']",20,46,"['martincampbell', 'martincampbell', 'martincampbell']",cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell martincampbell Adventure Action Thriller,6.562502919945742,6.072310931034483
0,62000000.0,"['Comedy', 'Drama', 'Romance']",9087,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,"['Columbia Pictures', 'Castle Rock Entertainment']",1995-11-17,107879496.0,106.0,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199.0,1995.0,"['michaeldouglas', 'annettebening', 'michaelj.fox']","['whitehous', 'usapresid', 'newlov', 'widow']",18,6,"['robreiner', 'robreiner', 'robreiner']",whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner robreiner Comedy Drama Romance,6.317590122279136,1.739991870967742
0,44000000.0,"['History', 'Drama']",10858,en,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",1995-12-22,13681765.0,192.0,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72.0,1995.0,"['anthonyhopkins', 'joanallen', 'powersboothe']","['usapresid', 'presidentialelect', 'watergatescand', 'biographi', 'govern', 'historicalfigur']",34,8,"['oliverstone', 'oliverstone', 'oliverstone']",usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone oliverstone History Drama,6.510430734703904,0.31094920454545455
0,98000000.0,"['Action', 'Adventure']",1408,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)']",1995-12-22,10017322.0,119.0,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,1995.0,"['geenadavis', 'matthewmodine', 'franklangella']","['exoticisland', 'treasur', 'map', 'ship', 'scalp', 'pirat']",31,16,"['rennyharlin', 'rennyharlin', 'rennyharlin']",exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin rennyharlin Action Adventure,5.609977259379755,0.10221757142857144
0,52000000.0,"['Drama', 'Crime']",524,en,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA']",1995-11-22,116112375.0,178.0,Released,No one stays at the top forever.,Casino,7.8,1343.0,1995.0,"['robertdeniro', 'sharonstone', 'joepesci']","['poker', 'drugabus', '1970s', 'overdos', 'illegalprostitut']",45,10,"['martinscorsese', 'martinscorsese', 'martinscorsese']",poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese martinscorsese Drama Crime,7.7369492660474,2.2329302884615383
